record_id,date_and_time,notificationtype,notification_title,email_body,timestamp
9757,2017-11-30T20:31:00.000,Missing Person,Silver Alert - Miguel Gonzalez M/H/81 (BK),"Silver Alert issued 11/30/17 at 8:31 PM.    A Silver Alert has been issued for Miguel Gonzalez, an 81-year-old Hispanic male from Kent Avenue and Dekalb Avenue in Brooklyn. The missing has dementia and may be in need of medical attention.    Description: 5'8' tall, 175lbs. Wearing blue jeans and a sweatshirt.    Last Seen: Kent Avenue and Dekalb Avenue, Brooklyn on 11/29 at 3:00 PM.     Photo: http://bit.ly/2nijHI9.    If you see Miguel Gonzalez, please call 9-1-1.",2017-11-30 20:31:00
9759,2017-11-30T17:24:00.000,Weather,Earthquake - 11/30 (CW),"Notification issued 11/30/17 at 5:23 PM. The United States Geological Survey (USGS) reports that a 4.4 magnitude earthquake has occurred near Dover, Delaware. The earthquake has reportedly been felt in the New York City area, but there are no reports of injuries or damage in New York City at this time.    Did you feel the earthquake? Submit a report to https://earthquake.usgs.gov/dyfi/.",2017-11-30 17:24:00
9756,2017-11-30T15:15:00.000,zINAC * Aerial (Fly-Over),Planned Aircraft Flyover - 12/1 - Midtown & Lower Manhattan (MN),,2017-11-30 15:15:00
9749,2017-11-30T15:00:00.000,Utility,Planned Natural Gas Work - 12/1 - Amboy Road (SI),"Notification issued 11/30/17 at 3:00 PM. On Friday, 12/1, National Grid will be performing gas system construction work on Amboy Road between Richmond Valley Road and Joline Avenue in Staten Island. This work will take place between 7:00 AM and 7:00 PM. During this period of time, elevated natural gas odor may be experienced throughout the localized area. Please report natural gas emergencies to 9-1-1 if they occur.",2017-11-30 15:00:00
9758,2017-11-30T03:13:00.000,Utility,Power Outage - Springfield Gardens (QN),"Notification issued 11/30/17 at 3:15 AM. Con Edison is responding to a power outage in the Springfield Gardens section of Queens, including ZIP code(s) 11413 and 11422. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.    If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",2017-11-30 03:13:00
9755,2017-11-29T20:01:00.000,zINAC * Aerial (Fly-Over),Planned Aircraft Flyover - 11/30 - Midtown Manhattan (MN),,2017-11-29 20:01:00
9754,2017-11-29T18:11:00.000,Mass Transit Restoration,Mass Transit Restoration - LIRR (CW),"Notification issued 11/29/17 at 6:08 PM. Following a prior suspension, normal service has resumed on the LIRR in both directions. Expect residual delays.",2017-11-29 18:11:00
9753,2017-11-29T17:52:00.000,Local Mass Transit,Mass Transit Suspension - LIRR (CW),"Notification issued 11/29/17 at 5:50 PM. Due to switch problems, LIRR service is suspended between Jamaica (QN) and Atlantic Terminal (BK) in both directions. NYC Transit is cross-honoring LIRR tickets via the 2/3 subway at Atlantic Terminal for service to Penn Station",2017-11-29 17:52:00
9752,2017-11-28T21:50:00.000,Utility,Power Outage  - Todt Hill and Concord Sections (SI),"Notification issued 11/28/17 at 9:50 PM. Con Edison is responding to a power outage in the Todt Hill and Concord section of Staten Island, including ZIP codes 10301 and 10304. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.    If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",2017-11-28 21:50:00
9751,2017-11-28T13:25:00.000,Transportation,Traffic Delays - Marine Parkway-Gil Hodges Memorial Bridge (BK/QN),"Notification issued 11/28/17 at 1:25 PM. Due to a fire, expect extensive traffic delays on the Marine Parkway-Gil Hodges Memorial Bridge in both directions. Consider alternate routes and allow for additional travel time.",2017-11-28 13:25:00
9727,2017-11-28T12:00:00.000,zINAC * Aerial (Fly-Over),Planned Aircraft Flyover - 11/29 - Hudson River (MN/BK/BX/SI),"Notification issued 11/28/17 at 12:00 PM. Tomorrow, 11/29 at 12:00 PM, two U.S. Navy F/A-18 aircraft will fly over the Hudson River, north to the Tappan Zee Bridge and then reverse course, and depart in the vicinity of the Verrazano-Narrows Bridge. The flyover will occur at an elevation of approximately 2,500-3,000 feet.",2017-11-28 12:00:00
9745,2017-11-28T07:52:00.000,Utility,Water Condition - 5th Avenue and West 33rd Street (MN),"Notification issued 11/28/17 at 7:52 AM. Due to a water condition, expect emergency personnel and traffic delays in the area of 5th Avenue and West 33rd Street, Manhattan. Consider alternate routes.",2017-11-28 07:52:00
9748,2017-11-27T17:15:00.000,zINAC * Drills / Exercises,Correction - CERT Exercise - 11/28 (BK),"Notification issued 11/27/17 at 5:15 PM. Correction: The Community Emergency Response Team (CERT) controlled fire and disaster drill taking place tomorrow, 11/28, will be at West 18th Street and 5th Avenue in Manhattan, not at Kings Plaza in Brooklyn. To learn more about CERT, visit http://www.NYC.gov/CERT.",2017-11-27 17:15:00
9747,2017-11-27T17:00:00.000,zINAC * Drills / Exercises,CERT Exercise - 11/28 (MN),"Notification issued 11/27/17 at 5:00 PM. As part of a Community Emergency Response Team (CERT) training class, a controlled fire and disaster drill will be conducted at West 18th Street and 5th Avenue in Manhattan from 6:30-9:00PM tomorrow, 11/28. Expect to see FDNY and NYPD personnel in action.     To learn more about CERT, visit http://www.NYC.gov/CERT.",2017-11-27 17:00:00
9469,2017-11-27T15:00:00.000,zINAC * Drills / Exercises,CERT Exercise - 11/28 (BK),"Notification issued 11/27/17 at 3:00 PM. As part of a Community Emergency Response Team (CERT) training class, a controlled fire and disaster drill will be conducted at Kings Plaza in Brooklyn from 6:30  9:00 PM tomorrow, 11/28. Expect to see FDNY and NYPD personnel in action. To learn more about CERT, visit http://www.NYC.gov/CERT.",2017-11-27 15:00:00
9746,2017-11-27T09:28:00.000,Utility,Natural Gas Leak - West 19th Street & 10th Avenue (MN),"Notification issued 11/27/17 at 9:28 AM. Due to a natural gas leak, expect emergency personnel and traffic delays in the area of West 19th Street and 10th Avenue in Manhattan. Please report natural gas emergencies and natural gas odors to 9-1-1 if they occur.",2017-11-27 09:28:00
9744,2017-11-26T22:30:00.000,zINAC * Fire,Three Alarm Fire - West 48 Street and 11 Avenue (MN),"Notification issued 11/26/17 at 10:30 PM. Emergency personnel are on the scene of a three alarm fire located at West 48 Street and 11th Avenue in Manhattan. Expect smoke, traffic delays, and a presence of emergency personnel and vehicles in the area. The NYC Department of Health and Mental Hygiene advises avoiding smoke exposure from structural fires by closing windows while indoors and reducing outdoor activity where smoke is present. People with heart or breathing conditions such as asthma may be more sensitive and should seek immediate medical attention if they experience a worsening of their condition, shortness of breath, or chest pains.",2017-11-26 22:30:00
9740,2017-11-26T16:45:00.000,Missing Person,Silver Alert - Gustavo Ferrer M/B/79 (BX),"Silver Alert issued 11/26/17 at 4:45 PM.    A Silver Alert has been issued for Gustavo Ferrer, a 79-year-old black male from the Mount Hope section of The Bronx.     Description: 5'2' tall, 145lbs. He was last seen wearing a brown sweater, a tan shirt, a black jacket, and brown shoes.    Last Seen: Near Valentine Avenue and East 180th Street in The Bronx on Saturday, 11/25, at 6:00 PM.    Photo: http://bit.ly/2jpCIn3.    If you see Gustavo Ferrer, please call 9-1-1.",2017-11-26 16:45:00
9743,2017-11-26T15:00:00.000,zINAC * Aerial (Fly-Over),Planned Flyover - Midtown (MN),,2017-11-26 15:00:00
9741,2017-11-26T03:21:00.000,zINAC * Fire,Three-Alarm Fire - Schenectady Avenue and Farragut Road (BK),"Notification issued 11/26/17 at 3:21 AM. Emergency personnel are on the scene of a three-alarm fire located at Schenectady Avenue and Farragut Road in Brooklyn. Expect smoke, traffic delays, and a presence of emergency personnel and vehicles in the area. The NYC Department of Health and Mental Hygiene advises avoiding smoke exposure from structural fires by closing windows while indoors and reducing outdoor activity where smoke is present. People with heart or breathing conditions such as asthma may be more sensitive and should seek immediate medical attention if they experience a worsening of their condition, shortness of breath, or chest pains.",2017-11-26 03:21:00
9742,2017-11-25T13:17:00.000,Missing Person,Missing Vulnerable Adult - Miguel Enrique Armijos M/W/77 (CW),"Alert issued 11/26/17 at 1:17 PM.    A Missing Vulnerable Adult Alert has been issued for Miguel Enrique Armijos, a 77-year-old white male from Poughkeepsie, NY. He has dementia and may be in need of medical attention.    Description: 5'10' tall, 189lbs, with black hair and brown eyes. He was last seen wearing a beige jacket, blue polo shirt with white stripes, blue jeans, and white New Balance sneakers.    Last Seen: At the Galleria Mall on South Road in Poughkeepsie, NY at approximately 10:00 AM on 11/25. He may attempt to travel to Queens by bus or train.    Photo: https://i.imgur.com/tr6s75n.png.    If you see Mr. Armijos, please call the Poughkeepsie Town Police Department at (845) 485-3666 or call 9-1-1.",2017-11-25 13:17:00
9739,2017-11-24T10:38:00.000,Mass Transit Restoration,Mass Transit Restoration - A Train (QN),"Notification issued 11/24/17 at 10:38 AM. Following a prior suspension, A Train service has resumed in both directions between JFK Airport and Far Rockaway in Queens. Expect residual delays.",2017-11-24 10:38:00
